GO:0003824 GO:0044835
GO:0003824 GO:0009099
GO:0003824 GO:0038190
GO:0003824 GO:0009052
GO:0003824 GO:0006540
GO:0003824 GO:0045122
GO:0003824 GO:0046211
GO:0003824 GO:0009255
GO:0003824 GO:0009298
GO:0003824 GO:0061705
GO:0003824 GO:0061624
GO:0003824 GO:0039688
GO:0003824 GO:0010241
GO:0003824 GO:2001310
GO:0003824 GO:0006308
GO:0003824 GO:0097510
GO:0003824 GO:0000729
GO:0003824 GO:0019451
GO:0003824 GO:0019333
GO:0003824 GO:0019454
GO:0003824 GO:0019574
GO:0003823 GO:0097281
GO:0003823 GO:0097280
GO:0003823 GO:0097282
GO:0003810 GO:1903575
GO:0003810 GO:0070268
GO:0046790 GO:0019062
GO:0008275 GO:0000931
GO:0008270 GO:0106219
GO:0008270 GO:0140486
GO:0008270 GO:0140827
GO:0008265 GO:1902756
GO:0008234 GO:0016579
GO:0008233 GO:0016579
GO:0008227 GO:0071875
GO:0008227 GO:0007213
GO:0008227 GO:0098664
GO:0062167 GO:0005602
GO:0034502 GO:0034080
GO:0005102 GO:0030159
GO:0005102 GO:0046813
GO:0005102 GO:0032393
GO:0005102 GO:0061740
GO:0005102 GO:0032394
GO:0005102 GO:0038177
GO:0005102 GO:0160041
GO:0005102 GO:0032395
GO:0005102 GO:0005186
GO:0005102 GO:0061684
GO:0005126 GO:0038177
GO:0003785 GO:0003788
GO:0003779 GO:0140775
GO:0003779 GO:0003788
GO:0003779 GO:0003789
GO:0003729 GO:0000900
GO:0003723 GO:0140610
GO:0003723 GO:0140764
GO:0003723 GO:0000900
GO:0003723 GO:0160089
GO:0003723 GO:0062153
GO:0003723 GO:0001070
GO:0003723 GO:1990247
GO:0003723 GO:0008135
GO:0003720 GO:0032203
GO:0003720 GO:0007004
GO:0046870 GO:0097063
GO:0003700 GO:0038185
GO:0008172 GO:0033353
GO:0008171 GO:0045122
GO:0008170 GO:2001310
GO:0008168 GO:2001310
GO:0008168 GO:0045122
GO:0008168 GO:0015452
GO:0008168 GO:0140380
GO:0008168 GO:0033353
GO:0008152 GO:0039692
GO:0008152 GO:0042047
GO:0008152 GO:0022616
GO:0008152 GO:0019941
GO:0008152 GO:0070930
GO:0008152 GO:0048102
GO:0008152 GO:0061688
GO:0008152 GO:0061721
GO:0008152 GO:0080120
GO:0008152 GO:0002391
GO:0008152 GO:0010707
GO:0008152 GO:0010706
GO:0008152 GO:0006791
GO:0008152 GO:0006098
GO:0008152 GO:0006434
GO:0008152 GO:0006412
GO:0008152 GO:0061619
GO:0008152 GO:0061613
GO:0008152 GO:0006119
GO:0008152 GO:0071030
GO:0008152 GO:0006614
GO:0008152 GO:0006777
GO:0008152 GO:0061857
GO:0008152 GO:0098039
GO:0008152 GO:0071031
GO:0008152 GO:0006956
GO:0008152 GO:0090611
GO:0008152 GO:0019660
GO:0008152 GO:1990426
GO:0008152 GO:0038004
GO:0008152 GO:0019740
GO:0008152 GO:0071036
GO:0008152 GO:0006260
GO:0008152 GO:0120113
GO:0008152 GO:0160032
GO:0008152 GO:0032258
GO:0008152 GO:0075043
GO:0008152 GO:0009777
GO:0008152 GO:0007534
GO:0008152 GO:0061706
GO:0008152 GO:0061623
GO:0008152 GO:0061722
GO:0008152 GO:0039703
GO:0008152 GO:0061625
GO:0008152 GO:0009758
GO:0008152 GO:0097278
GO:0008152 GO:0039688
GO:0008150 GO:0042047
GO:0008150 GO:0000769
GO:0008150 GO:0036162
GO:0008150 GO:0019941
GO:0008150 GO:0034381
GO:0008150 GO:0060271
GO:0008150 GO:1990277
GO:0008150 GO:0043490
GO:0008150 GO:1990394
GO:0008150 GO:0002391
GO:0008150 GO:0033215
